scenario,risk_band,account_count,total_ead_proxy,total_expected_loss_proxy,el_rate
BASE,R1 VERY_LOW,60830,861976150.0,12085244.498650301,0.014020393138081955
BASE,R2 LOW,58723,744062550.0,23566869.72210923,0.03167323731332699
BASE,R3 MEDIUM,61155,784331975.0,45636954.49774408,0.05818576311101442
BASE,R4 HIGH,65686,944672550.0,107064496.16122366,0.11333503462255114
BASE,R5 VERY_HIGH,63672,1134115125.0,338398708.78814983,0.29838126776428436
MILD,R1 VERY_LOW,60830,861976150.0,14985635.675119594,0.017385209179070202
MILD,R2 LOW,58723,744062550.0,29105204.04532455,0.039116609276094526
MILD,R3 MEDIUM,61155,784331975.0,56004964.96195259,0.07140466887372861
MILD,R4 HIGH,65686,944672550.0,129621662.16678844,0.13721332557698268
MILD,R5 VERY_HIGH,63672,1134115125.0,390297217.90494585,0.34414250308578315
ADVERSE,R1 VERY_LOW,60830,861976150.0,20105619.034319352,0.023325029392425013
ADVERSE,R2 LOW,58723,744062550.0,38793932.278425395,0.052137998718555845
ADVERSE,R3 MEDIUM,61155,784331975.0,73891651.09597063,0.09420966306514615
ADVERSE,R4 HIGH,65686,944672550.0,167451465.24985632,0.1772587392846932
ADVERSE,R5 VERY_HIGH,63672,1134115125.0,470847131.2793177,0.4151669622423188
SEVERE,R1 VERY_LOW,60830,861976150.0,26382925.27426468,0.030607488704025833
SEVERE,R2 LOW,58723,744062550.0,50540872.32563308,0.06792556932966601
SEVERE,R3 MEDIUM,61155,784331975.0,95215777.01151133,0.12139729100233523
SEVERE,R4 HIGH,65686,944672550.0,211099467.18921876,0.22346311130689545
SEVERE,R5 VERY_HIGH,63672,1134115125.0,556941743.9276772,0.4910804305935671
