model,segment_dimension,segment,n,mean_observed_lgd,mean_predicted_lgd,mean_bias,mae
HUBER_REGRESSOR,risk_decile,1,264,0.5252784492878512,0.4628418313741593,-0.06243661791369179,0.1844072127739319
HUBER_REGRESSOR,risk_decile,2,523,0.5225268020389001,0.46779540109948864,-0.0547314009394116,0.18842320783608213
HUBER_REGRESSOR,risk_decile,3,853,0.5310267008061312,0.47939266561800026,-0.05163403518813094,0.1814920347516044
HUBER_REGRESSOR,risk_decile,4,1137,0.5513095119224398,0.4925762409909267,-0.05873327093151315,0.18422672994587688
HUBER_REGRESSOR,risk_decile,5,1573,0.5482608653260796,0.5045492886160632,-0.0437115767100165,0.17866477143095688
HUBER_REGRESSOR,risk_decile,6,2095,0.579237720298245,0.5177540924851585,-0.06148362781308653,0.17702300219227973
HUBER_REGRESSOR,risk_decile,7,3210,0.5871673285821973,0.535159679312618,-0.05200764926957936,0.1765872152662811
HUBER_REGRESSOR,risk_decile,8,4739,0.6193265329129004,0.5627341647601595,-0.05659236815274094,0.1672096710235191
HUBER_REGRESSOR,risk_decile,9,8305,0.6604972161206721,0.6032857105931145,-0.05721150552755769,0.15407998186740948
HUBER_REGRESSOR,risk_decile,10,16172,0.7325193600182266,0.6824390238161346,-0.050080336202091874,0.12402216617963545
HUBER_REGRESSOR,term, 36 months,20169,0.5892478383399286,0.541202569418048,-0.04804526892188058,0.17577755164995051
HUBER_REGRESSOR,term, 60 months,18702,0.7397425658724489,0.6806767242656271,-0.05906584160682179,0.1209884016757116
HUBER_REGRESSOR,purpose,car,264,0.6431544336180586,0.6030330749084939,-0.040121358709564695,0.15636200087835195
HUBER_REGRESSOR,purpose,credit_card,6991,0.637349329344815,0.5832609898996782,-0.05408833944513683,0.1531449553676415
HUBER_REGRESSOR,purpose,debt_consolidation,24399,0.6663953132177441,0.6151692304321902,-0.051226082785554065,0.1463122624654164
HUBER_REGRESSOR,purpose,home_improvement,2237,0.6704090687710936,0.6057634179245575,-0.064645650846536,0.15226039053426188
HUBER_REGRESSOR,purpose,house,225,0.6720404793552821,0.6188450570799529,-0.05319542227532919,0.14804856224014373
HUBER_REGRESSOR,purpose,major_purchase,812,0.6844785627469314,0.6324771863650969,-0.052001376381834566,0.14961816764333422
HUBER_REGRESSOR,purpose,medical,489,0.6718758430750201,0.6088325285004768,-0.0630433145745433,0.16958800938097135
HUBER_REGRESSOR,purpose,moving,298,0.6670450947655756,0.6133379512012348,-0.05370714356434082,0.15543837427042284
HUBER_REGRESSOR,purpose,other,2289,0.6614209060743352,0.5962664146394299,-0.06515449143490548,0.16348457080061823
HUBER_REGRESSOR,purpose,renewable_energy,28,0.6946955212204929,0.6052493614847496,-0.08944615973574324,0.1912735300156521
HUBER_REGRESSOR,purpose,small_business,611,0.6863302624401892,0.6516697374957862,-0.0346605249444031,0.14443419655978046
HUBER_REGRESSOR,purpose,vacation,228,0.6469066105287529,0.5739874759839033,-0.07291913454484958,0.147877212235636
HUBER_REGRESSOR,fico_band,660-699,29596,0.6616989071395893,0.6081926864605759,-0.05350622067901344,0.14883321464771926
HUBER_REGRESSOR,fico_band,700-739,7762,0.6593614549248645,0.6091867689722661,-0.050174685952598296,0.14926998092494312
HUBER_REGRESSOR,fico_band,740+,1513,0.672571480234288,0.6060490882739173,-0.06652239196037069,0.16158698923575882
HUBER_REGRESSOR,loan_size_band,10-20k,16567,0.6808615286461446,0.6256381876263675,-0.055223341019777286,0.1415195884637009
HUBER_REGRESSOR,loan_size_band,20-30k,7730,0.7016370780456882,0.6430398343261992,-0.05859724371948912,0.13404655418209332
HUBER_REGRESSOR,loan_size_band,30k+,3327,0.7042185849263647,0.6476607897520488,-0.056557795174315875,0.13755425060453572
HUBER_REGRESSOR,loan_size_band,<=10k,11247,0.5932944187784027,0.547267493425425,-0.046026925352977734,0.1751226682404202
HUBER_REGRESSOR,issue_year,2015,18789,0.6207535814287537,0.5826899527885622,-0.038063628640191596,0.16082712455861983
HUBER_REGRESSOR,issue_year,2016,14190,0.6650683574309499,0.617510344124938,-0.04755801330601176,0.14067033832360065
